Clc(cc1)cc(CCc2c3nccc2)c1C3=C1CCNCC1	binder2580-ACTIVE
O=C(c1ccccc1OCc1csc(-c2ccc(Cl)cc2)n1)N1CCCC1	CHEMBL195235-ACTIVE
COc1ccc(-c2cc(-c3ccc(S(=O)(=O)N(C)C)cc3)cnc2N)cn1	CHEMBL2181492-ACTIVE
COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1	CHEMBL186482-ACTIVE
COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(C(=O)NCCN3CCCC3)c2C)c(F)c1	CHEMBL3329684-ACTIVE
N#Cc1ccc(OCC2(O)CN(S(=O)(=O)c3ccc(Cl)cc3Cl)C2)cc1F	CHEMBL3218118-ACTIVE
Fc1ccc(-c2cc3sc(N4CCC(N5CCCCC5)CC4)nc3cn2)cn1	CHEMBL575023-ACTIVE
O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CC[C@H](O)C2)c(-c2cncnc2)c1	CHEMBL3954214-ACTIVE
FC(F)Oc1cc(-c2cnn(Cc3cc[nH]n3)c2)ccc1Cl	CHEMBL3897632-ACTIVE
COC(=O)C(Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(OC2CCCC2)cc1	CHEMBL2440407-ACTIVE
Cc1nc2cnc(Oc3ccc(F)c4cccnc34)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1	CHEMBL1957002-ACTIVE
Cc1cc(Nc2ccccc2)nc(NCc2ccc3c(c2)OCO3)n1	CHEMBL594752-ACTIVE
Cc1c(CN[C@H]2CC[C@@H](F)C2)nn(CCC#N)c1-c1cc(F)cc(F)c1	CHEMBL560667-ACTIVE
N=C(N)NC[C@H](Oc1noc2ccc(-c3ccccc3Cl)cc12)c1ccccc1	CHEMBL4592805-ACTIVE
COc1ccc2nccc(CC[C@H]3OC[C@H](NCc4cc5c(cn4)OCCO5)CO3)c2c1	CHEMBL4228258-ACTIVE
CN(C)c1ccc(CNC(=O)[C@H]2CNC[C@@H]2c2ccc(C(F)(F)F)cc2)cc1	CHEMBL4435264-ACTIVE
COc1cc([C@](O)(CCN(C)C)[C@H](c2cc(OC)nc(N(C)C)c2)c2cc3cc(C#N)ccc3nc2OC)cc(OC)n1	CHEMBL4591849-ACTIVE
CCCCOc1cccc(CCNCC(=O)N(C)C)c1	CHEMBL4286909-ACTIVE
COc1cc(F)ccc1-c1cncc(NC2CCCOC2)c1	CHEMBL1779011-ACTIVE
C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccn(C(F)F)n3)cs2)CO1	CHEMBL4215837-ACTIVE
O=C(CCCCc1c[nH]nn1)NC1CCN(C(=O)OCc2cc(Cl)cc(Cl)c2)CC1	CHEMBL3890736-ACTIVE
Cc1nn(C2CCN(CCO)CC2)c(C)c1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1	CHEMBL3824323-ACTIVE
CN(c1cnn(-c2ccnc3[nH]c(-c4cccc5c4ccn5C)nc23)c1)[C@@H]1CCOC[C@@H]1N	CHEMBL4781060-ACTIVE
CCSc1cc([C@](O)(CCN(C)C)[C@@H](c2cc3cc(Br)ccc3nc2OC)c2ccnc(OC)c2OC)cc(SCC)n1	CHEMBL4647399-ACTIVE
CC(C)(C)c1cc(NC(=O)c2cnc3cc(Oc4ncnc5c4CNC5)ccn23)no1	CHEMBL3808450-ACTIVE
Cc1cn(-c2ccc3n(c2=O)CCN([C@@H](C)COc2ccc(F)cc2[C@@H](C)C(F)(F)F)C3=O)cn1	CHEMBL3580774-ACTIVE
COc1cccc(-c2cccc(C3(C)N=C(N)CS3)c2)c1	CHEMBL2380454-ACTIVE
O[C@@H](COc1ccc(C(F)(F)F)cc1)CN1CCN(Cc2ccc(Cl)c(Cl)c2)CC1	CHEMBL2334610-ACTIVE
CN1CCC(COCc2cc(C(F)(F)F)cc(C3CC3)n2)(c2cccc(Cl)c2)CC1	CHEMBL2333614-ACTIVE
O=C(CCN1CCCCC1)Nc1ccc(CN2CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC2)cc1F	CHEMBL246464-ACTIVE
COc1cc(NC2CN(CCCF)C2)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC1(F)CC1	CHEMBL4742862-ACTIVE
COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CCC[C@H](N1CCN(C)CC1)C2	CHEMBL3936443-ACTIVE
C=CCOc1cc(F)c(F)cc1C1CC1CN	CHEMBL3769968-ACTIVE
CCN(CC)[C@@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@H](C)NC(=O)OC)[nH]4)cc3)cc2)[nH]1)c1ccccc1	CHEMBL3121151-ACTIVE
C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1	CHEMBL2426279-ACTIVE
COc1cc(N2CCN(C[C@H](C)O)CC2)ccc1Nc1ncc2ccc(-c3ccccc3N(C)S(C)(=O)=O)n2n1	CHEMBL1822525-ACTIVE
c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1	CHEMBL487355-ACTIVE
COc1ncc(NC(=O)Nc2cnc3ccc(F)cc3c2N(C)C2CCCN(C)C2)cc1Cl	CHEMBL4756634-ACTIVE
CCCCCc1nn(-c2nc(N)c3c(n2)NC(=O)C3(C)C)c2ccc(Cl)cc12	CHEMBL4740488-ACTIVE
CCO/N=C/c1ccc(OCCCCCN2CCN(c3ccnc(N)c3)S2(=O)=O)cc1	CHEMBL4215737-ACTIVE
COCc1ccc(-c2cc3c(cc2F)ncc2c3n([C@H]3C[C@@H](OC)C3)c(=O)n2C)cn1	CHEMBL4160664-ACTIVE
CC(C)(N)c1nc(-c2cccc(OC(F)(F)F)c2)c[nH]1	CHEMBL4066520-ACTIVE
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1	CHEMBL4064619-ACTIVE
CC(C)[C@]1(C)CC(=O)N(Cc2cc(F)cc(C(=O)N[C@@H](C)c3ccccc3)c2)C(=N)N1	CHEMBL3401350-ACTIVE
COCCOc1cc2ncc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCOCC1	CHEMBL2409311-ACTIVE
COc1cccc(-c2cccc(C3(C)CSCC(N)=N3)c2)c1	CHEMBL2380448-ACTIVE
Cc1ccc(CNC(=O)[C@@H]2CNC[C@H]2c2ccc(C(F)(F)F)cc2)cc1	CHEMBL4536433-ACTIVE
NCCCCN(C[C@H]1Cc2ccccc2CN1)[C@H]1CCCc2cccnc21	CHEMBL3091687-ACTIVE
COC(=O)C1=CCC2CCC1N2C	CHEMBL412663-ACTIVE
COCc1ccc(-c2cc3c(N[C@@H](C)C4CCOCC4)c(C(N)=O)cnc3cc2F)cn1	CHEMBL4533539-ACTIVE
O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(CCCO4)C3)cc2)C1	CHEMBL3786346-ACTIVE
CC(Oc1ccccc1CC1CC1)C1=NCCN1	CHEMBL1956195-ACTIVE
N#Cc1cnc(Nc2cc(NC[C@H]3CNCCO3)c(-c3cccc(F)c3)cn2)cn1	CHEMBL4741023-ACTIVE
Cc1cc2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c(C)n2n1	CHEMBL392573-ACTIVE
Cc1nc(Nc2nc3cnc(N4CCN(C)CC4)cc3[nH]2)cc(C2CC2)c1F	CHEMBL3321980-ACTIVE
O=C(c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)cc1)N1CCCC1	CHEMBL2031875-ACTIVE
N[C@H]1CN(c2ccc(-n3ccc(OCc4ccccc4)cc3=O)cn2)C[C@@H]1c1cc(F)ccc1F	CHEMBL2011528-ACTIVE
Cc1noc(N2C[C@@H]3CC[C@H](C2)[C@H]3Nc2nc3c(OCC(F)(F)F)ccc(C(F)(F)F)n3n2)n1	CHEMBL4649550-ACTIVE
CC(C)Cc1cc(CNS(=O)(=O)c2ccc(CCc3ccccc3)cc2)nn1-c1ccccc1	CHEMBL3919158-ACTIVE
O=C1CN(c2cn[nH]c(=O)c2Cl)CCN1Cc1ccccc1C(F)(F)F	CHEMBL4530872-ACTIVE
Cc1ccccc1-c1nc2ccc(-c3ccc(Cl)cc3)cc2c(=O)n1C[C@H]1CCCN(C(C)C)C1	CHEMBL3218645-ACTIVE
Cc1cccc(N2CCN(CCCNC(=O)c3nc(C)n(-c4ccc5c(c4)OCCO5)c3C)CC2)c1C	CHEMBL3215864-ACTIVE
CCOC(=O)C1=C(CNC(Cc2ccccc2)C(=O)O)NC(c2nccs2)=NC1c1ccc(F)cc1Br	CHEMBL4103771-ACTIVE
COc1cc(F)ccc1-c1cncc(C2CCCN2)c1	CHEMBL1779009-ACTIVE
Cc1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCCC2)cc1	CHEMBL487063-ACTIVE
CCn1nc2c(c1Nc1nc(-c3ccc(-n4cnc(C)c4)c(OC)n3)cs1)CCCC2	CHEMBL4445443-ACTIVE
C[C@]12CCC(F)=C[C@H]1C[C@@H](N1CCC[C@@H](N)C1)[C@@H]2Oc1ccc(C#N)cc1	CHEMBL4129456-ACTIVE
CC(C(O)c1ccc2c(c1)CCC(=O)N2)N1CCC(O)(c2ccc(F)cc2)CC1	CHEMBL404851-ACTIVE
CN(CCC1CCN(C(=O)OCc2cc(Cl)cc(Cl)c2)CC1)C(=O)c1c[nH]nn1	CHEMBL3974814-ACTIVE
C[C@H]1Cc2c(ncnc2Oc2ccc3ccn(C(=O)Nc4cc(C5(C(F)(F)F)CC5)on4)c3c2)CN1	CHEMBL3809643-ACTIVE
COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)n3nc(C)cc32)cc1	CHEMBL2380451-ACTIVE
CC(=O)Nc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1	CHEMBL2062563-ACTIVE
CN(C)c1ccc(CNC(=O)[C@@H]2CNC[C@H]2c2ccc(C(F)(F)F)c(F)c2)cc1	CHEMBL4483725-ACTIVE
CN1C[C@H]2[C@@H](C1)[C@@H]2CN(Cc1ccc(F)c(Cl)c1)C(=O)c1cn(C)cn1	CHEMBL563251-ACTIVE
O=C(c1ccc(-n2nnc3cccnc32)cc1)N(c1ncccc1Cl)[C@@H]1CCCNC1	CHEMBL4109308-ACTIVE
Cc1nc(-n2cnnn2)ccc1CC(=O)N1CCN(CCc2ccc3c(c2C)COC3=O)CC1	CHEMBL3793685-ACTIVE
CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C(C)C)C3)cc1	CHEMBL2331678-ACTIVE
COc1nc(Nc2cccc3c2nc(-c2ccc(F)cc2)n3C)ccc1-n1cnc(C)c1	CHEMBL2151164-ACTIVE
Nc1cncc(Nc2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)n1	CHEMBL2010816-ACTIVE
C[S+]([O-])c1cccc(-c2ccc3ncc(-c4cccc([S+](C)[O-])c4)n3n2)c1	CHEMBL4476063-ACTIVE
O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5nnc(-c6cnccn6)[nH]5)CC4)cc3)c(-c3ccccc3)cc12	CHEMBL444136-ACTIVE
COCCS(=O)(=O)N1CCN(c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)CC1	CHEMBL514384-ACTIVE
CN(C)c1cc(C(F)(F)F)cc(COCC2(c3ccc(F)cc3)CCNCC2)n1	CHEMBL2333617-ACTIVE
Cc1nc(C)c(-c2ccc3cc(CCN4CCCC4C)ccc3n2)cc1C#N	CHEMBL1822863-ACTIVE
CSc1nn2c3c(c(C)nc2c1S(=O)(=O)c1ccccc1)CCCC3	CHEMBL1091919-ACTIVE
CCN1CCN(Cc2cnc(-c3ccc(C(=O)Nc4ccccc4N)cc3)c(Cl)c2)CC1	CHEMBL402542-ACTIVE
Nc1n[nH]c(N2CCC(N3CCCC[C@@H]3Cc3ccc(Cl)cc3)CC2)n1	CHEMBL4580568-ACTIVE
COc1cc(-c2cncc(-c3ccc(N4CCNCC4)cc3)c2C)cc(OC)c1OC	CHEMBL4517408-ACTIVE
CCc1ccn2ccnc2c1N1CCCN([C@@H](CC(N)=O)C2CCN(C(=O)[C@H]3C[C@@H]4CC[C@H]3O4)CC2)CC1	CHEMBL4084050-ACTIVE
CCOC(=O)C1CCN(C(=O)c2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)CC1	CHEMBL3747487-ACTIVE
COc1ccccc1CCNCC(=O)N1CCc2ccccc2C1C1CCCCC1	CHEMBL3356239-ACTIVE
CC(=O)NC1CC2CCC(C1)N2CCc1ccc(Oc2nc3ncccc3s2)cc1	CHEMBL2207747-ACTIVE
COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO	CHEMBL1078983-ACTIVE
O=C(CSc1nc2cc([N+](=O)[O-])ccc2[nH]1)Nc1ccc(Oc2ccccc2)cc1	CHEMBL4441783-ACTIVE
Fc1cccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)c1	CHEMBL1084577-ACTIVE
CN(C)CCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2	CHEMBL4062435-ACTIVE
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1	CHEMBL4740741-ACTIVE
O=C(Nc1ccc(S(=O)(=O)Nc2ccccc2C(=O)c2ccccc2)cc1)OCC1CCCO1	CHEMBL454085-ACTIVE
Cc1c[nH]c2c(Nc3nc(N[C@@H]4CCCC[C@@H]4N)cc4cc[nH]c(=O)c34)cccc12	CHEMBL3262625-ACTIVE
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F	CHEMBL24778-ACTIVE
NC(=O)c1cnc(NC(C2CC2)C2CC2)c2c1[nH]c1cc(-c3cnc(N)nc3)ccc12	CHEMBL1833986-ACTIVE
C=C(N(C)Cc1ccc(-c2ccccc2)cc1)N1CCN(C(C)C)CC1	CHEMBL1823339-ACTIVE
CC(C)N(CCc1c(-c2ccccc2)nn2ccccc12)Cc1ccc(/C=C/C(=O)NO)cc1	CHEMBL1819275-ACTIVE
CSc1nn(-c2ccccc2)c2cc(NC(=O)C3CCNCC3)ccc12	CHEMBL1236391-ACTIVE
CCCCc1nc(C(C)C)c(CC(=O)OCC)c(=O)n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	CHEMBL4546437-ACTIVE
Cc1cc2nccn2cc1Nc1ncc2c(n1)n(C1CCOCC1)c(=O)n2C	CHEMBL4474647-ACTIVE
O=C(NC[C@H]1[C@@H]2CN(C(=O)CCc3cc(Cl)cc(Cl)c3)C[C@H]12)c1ccc2[nH]c(=O)oc2c1	CHEMBL4173341-ACTIVE
NC(=O)c1ncc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc2cc[nH]c12	CHEMBL3416024-ACTIVE
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)n2)cc1	CHEMBL3124980-ACTIVE
N[C@H]1CN(c2ccc3nc(C(F)(F)F)nn3n2)CC[C@@H]1c1cc(F)c(F)cc1F	CHEMBL231293-ACTIVE
CCN(CC)Cc1ccc2c(c1)CC[C@H](N1CCN(CCc3ccc(F)cc3)CC1=O)C2	CHEMBL214629-ACTIVE
COc1ccc2ncc(F)c(CC[C@H]3OC[C@H](NCc4ccc5c(c4)OCCO5)CO3)c2n1	CHEMBL4782430-ACTIVE
Cc1nc(CN(C)[C@H]2CCCc3cccnc32)cc(N2CCN(C)CC2)n1	CHEMBL4751485-ACTIVE
C[C@@H]1CN(c2ccc(S(C)(=O)=O)cc2F)CCN1c1nccc(C(=O)NC2C3CC4CC2CC(O)(C4)C3)n1	CHEMBL4748750-ACTIVE
COc1ccc(NC(=O)N2CCN(c3nc(N)nc4sncc34)[C@@H](C)C2)c(C)c1	CHEMBL4203566-ACTIVE
C[C@H](COc1ccc(C2=NNC(=O)C3CC23)cc1)CN1CCC[C@H]1C	CHEMBL3417505-ACTIVE
COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CC[C@@H](O)C4)nc3n2)cc1CO	CHEMBL2336332-ACTIVE
C#Cc1cnc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)cc1NC	CHEMBL2204589-ACTIVE
CSc1cc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)ncc1-c1cnn(C)c1	CHEMBL2203846-ACTIVE
Cc1cccc(-c2noc(C3CC(=O)N(c4ccc(F)cc4)C3)n2)c1	CHEMBL2069398-ACTIVE
O=c1ccc(-c2ccc(OC3CCN(C4CCC4)CC3)cc2)n[nH]1	CHEMBL1950643-ACTIVE
C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(OCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1	CHEMBL1615186-ACTIVE
Cc1nc2ccccn2c1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1	CHEMBL1084385-ACTIVE
CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O	CHEMBL1083409-ACTIVE
O=C1N(CCN2Cc3ccccc3C2)CCN1c1csc2ccccc12	CHEMBL563247-ACTIVE
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5	CHEMBL511142-ACTIVE
NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccc(F)cc3)cc2)N1	CHEMBL4642930-ACTIVE
Cc1ccc(-c2cc3nc[nH]c(=O)c3c(NC[C@H]3CCCNC3)n2)cc1	CHEMBL4449815-ACTIVE
COCCN1CCN(c2ccc(OCc3ccccc3)c(C(=O)Nc3ccnnc3)c2)CC1	CHEMBL4448579-ACTIVE
CC(C)c1nc(Nc2cc(NCCN)nnc2C(N)=O)ccc1F	CHEMBL3237581-ACTIVE
N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc4ccccc4s3)CC2)CC1	CHEMBL2070937-ACTIVE
CN1CCN(c2cccc3c2C[C@H](NC(=O)c2ccc(OC(F)(F)F)cc2)CO3)CC1	CHEMBL2069400-ACTIVE
O=C(Nc1ccc(-c2nnc(NCCCN3CCCCC3)o2)cc1)c1ccccc1F	CHEMBL2022496-ACTIVE
O=C(O)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1	CHEMBL1171786-ACTIVE
O=C1N(CC2CCCCN2)CCN1c1cccc(Cl)c1	CHEMBL1085672-ACTIVE
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3cccc(C(F)(F)F)c3)C2)n1C	CHEMBL1081957-ACTIVE
O=C(c1cccc(Cl)c1Cl)N(c1ccccc1)[C@H]1CCNC1	CHEMBL1079264-ACTIVE
COc1ccc2ncc(F)c(CC[C@H]3OC[C@H](NCc4ccc(Cl)c(Cl)c4)CO3)c2n1	CHEMBL4777291-ACTIVE
Cc1c(-c2cc(F)c(N)cc2F)ccc2c3oc(CN)nc3c(=O)n(C3CC3)c12	CHEMBL4764598-ACTIVE
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1	CHEMBL4280886-ACTIVE
COc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(CC2)CO3)c1	CHEMBL3703299-ACTIVE
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cccc(Cl)c2)C2CCN(S(C)(=O)=O)CC2)CC1	CHEMBL1951917-ACTIVE
O=C1[C@H]2[C@@H]3C=C[C@@H](C3)[C@H]2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1	CHEMBL4277101-ACTIVE
C[S+]([O-])c1ccc(-c2cnc3ccc(Nc4cnccn4)nn23)cc1	CHEMBL4562638-ACTIVE
CCN(CC)Cc1cc(Nc2ccc3ncc(-c4ccc([S+](C)[O-])cc4)n3n2)ccc1O	CHEMBL4582849-ACTIVE
Cc1nn(-c2ncccc2Cl)cc1CN1CCC2(CC1)OCc1ccccc12	CHEMBL512520-ACTIVE
CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cc3)c2)c2c(N)ncnc21	CHEMBL4790022-ACTIVE
O=C(O)CC1CCC2(CCN(c3ccc(-c4nc5cc(C(F)(F)F)ccc5[nH]4)cn3)CC2)OC1	CHEMBL4060355-ACTIVE
CC(C)(C)[C@H](O)C(=O)N1CC(c2cc(F)ccc2F)=C[C@H]1c1cccc(O)c1	CHEMBL262736-ACTIVE
O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1CCc1ccccn1	CHEMBL2164389-ACTIVE
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	CHEMBL75880-ACTIVE
O=C(c1ccncc1)N1CCC2(CCN(Cc3cccc4c3OCC4)CC2)CC1	CHEMBL572537-ACTIVE
C[C@@H]1Cc2c(ccc3[nH]ncc23)[C@@H](c2ccc(N(C)C3CN(CCCF)C3)cn2)N1CC(F)(F)F	CHEMBL4751770-ACTIVE
COc1cc(Nc2cc(-c3cccc(C#N)c3)ccn2)ccc1N1CCOCC1	CHEMBL2312146-ACTIVE
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1	CHEMBL1873475-ACTIVE
c1ccc(-c2ccccc2CC(c2cccnc2)c2cccnc2)cc1	CHEMBL4089937-ACTIVE
Cc1cc([C@H]2CC[C@H](c3nnc4n3-c3ccc(Cl)cc3CC4)CC2)no1	CHEMBL4745524-ACTIVE
CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4cccc(F)c4)cc23)CC[C@]1(C)N	CHEMBL4071806-ACTIVE
C[C@@H]1CN(c2noc(C(F)(F)F)n2)CCN1c1ncc(OCc2ccncc2C#N)cn1	CHEMBL2086693-ACTIVE
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2nc3c(s2)CCCC3)CC1	CHEMBL2010843-ACTIVE
COc1nccnc1CC1=C(CCN(C)C)Cc2ccccc21	CHEMBL1088900-ACTIVE
CCSc1ccccc1C(=O)N(CC1CCC1)[C@H]1CCNC1	CHEMBL556539-ACTIVE
CC(C)(C)c1cc(NC(=O)Cc2ccc(-n3cnc4cc(-c5ccc(S(C)(=O)=O)cc5)ccc43)cc2)no1	CHEMBL4473213-ACTIVE
N[C@H]1Cn2c(nc3cc(C(F)(F)F)ccc32)C[C@@H]1c1cc(F)c(F)cc1F	CHEMBL552479-ACTIVE
C[C@]12CC[C@@H]3c4ccc(OCCCN5CCCC5)cc4CC[C@H]3[C@@H]1CC[C@@H]2N1CCCC1	CHEMBL4451680-ACTIVE
CCOc1cc([C@H](c2cc3cc(Br)ccc3cc2OC)[C@@](O)(CCN(C)C)c2cccc3ccoc23)cc(OC)n1	CHEMBL4227403-ACTIVE
CSc1ccc(Cc2cc3c(=O)n([C@H]4CCCC[C@@H]4O)cnc3c3ccccc23)cn1	CHEMBL4218135-ACTIVE
O=C(c1noc(-c2ccccc2)n1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1	CHEMBL3787166-ACTIVE
COC[C@H](C)Oc1cc(Oc2ccc(S(C)(=O)=O)cc2)cc(C(=O)Nc2nc(C)ns2)c1	CHEMBL3217923-ACTIVE
CC[C@@H](CC(=O)NCC1CCCCC1)n1c(N)nc2cc(Cl)ccc21	CHEMBL1222240-ACTIVE
CN(C)CCCCc1ccc(C(C)(C)C)cc1	CHEMBL1083999-ACTIVE
CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1	CHEMBL3823499-ACTIVE
FC(F)Oc1ccc(-c2nnc3cncc(OCCc4ccccc4)n23)cc1	CHEMBL4780715-ACTIVE
Cc1cc(N2CCC3(CCN(C[C@H](O)c4ccc5c(c4C)COC5=O)CC3)C2=O)sn1	CHEMBL4075906-ACTIVE
C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353407-ACTIVE
CN1CCC(COCc2cc(C(F)(F)F)cc(N3CCCC3)n2)(c2ccccc2)CC1	CHEMBL2333624-ACTIVE
COC1COCCC1N[C@@H]1C[C@H]2CCC[C@@]2(C(=O)N2CCc3ccc(OC(F)(F)F)cc3C2)C1	CHEMBL2313768-ACTIVE
Cc1cc(OCCN2CCN(C)CC2)nn1-c1ccc(Cl)c(Cl)c1	CHEMBL2170231-ACTIVE
Cc1cc(OCCN2C[C@H](C)O[C@H](C)C2)nn1-c1ccc2ccccc2c1	CHEMBL2170070-ACTIVE
N#Cc1ccc(N2CCN(Cc3cc(C(=O)O)c(=O)n4ccccc34)CC2)cc1	CHEMBL1683351-ACTIVE
COCCNS(=O)(=O)c1ccc(-c2ccc(CCN3CCC[C@H]3C)cc2)cc1	CHEMBL550405-ACTIVE
COc1cc(-n2ccnc(CCCc3ccccc3)c2=O)ccc1OCCN1CCCC1	CHEMBL470840-ACTIVE
CC(O)CN1[C@@H](C)CN(CC[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)C[C@H]1C	CHEMBL4634776-ACTIVE
O=C1COc2ccc(CNC34CCC(C[C@]5(O)Cn6c(=O)ccc7ncc(F)c5c76)(CC3)OC4)cc2N1	CHEMBL3425808-ACTIVE
Cc1cccc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)n1	CHEMBL3422007-ACTIVE
CN1CCN(c2cc(Cl)c3nc(Nc4ccc(Br)cn4)[nH]c3c2)CC1	CHEMBL3321968-ACTIVE
CC(NC(=O)C1c2ccccc2C(=O)N1CCc1ccccn1)c1ccc(OCC(F)(F)F)cc1	CHEMBL2164393-ACTIVE
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1	CHEMBL212689-ACTIVE
Cc1ccc(OC(=O)N(CC(=O)O)Cc2cccc(OCc3nc(-c4cccc(Cl)c4)oc3C)c2)cc1	CHEMBL1092931-ACTIVE
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C	CHEMBL32363-ACTIVE
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	CHEMBL19224-ACTIVE
Clc1ccc2c(c1)CCc1nnc([C@H]3CC[C@H](Oc4ccccn4)CC3)n1-2	CHEMBL4782340-ACTIVE
FC(F)(F)c1cc(Cl)cc(COCC2(c3ccccc3)CCNCC2)c1	CHEMBL2333638-ACTIVE
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1	CHEMBL2035183-ACTIVE
O=C([C@H]1C[C@H](Oc2cccc(Cl)c2)CN1)N1CCCN(C2CCC2)CC1	CHEMBL1095877-ACTIVE
O=C(c1cccc(Cl)c1Cl)N(CCC1CC1)[C@H]1CCNC1	CHEMBL1080789-ACTIVE
COc1cc(F)ccc1-c1cncc(CNC(=O)c2cnccn2)c1	CHEMBL1779012-ACTIVE
