COc(cc(cc1)Cl)c1Oc(ccc(Cl)c1)c1Cl	nonbinder1-inactive
Clc(cccc1)c1-c1nnc(-c(cccc2)c2Cl)nn1	nonbinder2166-inactive
CC(C)NCC(c(cc1)ccc1[N+]([O-])=O)O	nonbinder2167-inactive
Cc1nc(NC(NS(c(cccc2)c2C(OC)=O)(=O)=O)=O)nc(OC)n1	nonbinder2168-inactive
CC(CSC(C)=O)C(N(CCC1)C1C(NC(Cc1ccccc1)C(O)=O)=O)=O	nonbinder2169-inactive
CC(C)NCCCC1(C(N)=O)c(cccc2)c2-c2c1cccc2	nonbinder2170-inactive
CCOC(Oc(ccc(CCNC(C(CCSC)NC(C)=O)=O)c1)c1OC(OCC)=O)=O	nonbinder2171-inactive
CC(C(O)=O)c(cc1)cc(C2)c1Sc(cccc1)c1C2=O	nonbinder2172-inactive
CC(C)(C(c1ccccc1)=O)O	nonbinder2173-inactive
CC1(COc2ccc(CC(C(N3)=O)SC3=O)cc2)CCCCC1	nonbinder2174-inactive
CC(CC1)CC(C(O)=O)N1C(C(CCCNC(N)=N)NS(c1c2NCC(C)Cc2ccc1)(=O)=O)=O	nonbinder2175-inactive
NC(CN(CCC1)C1=O)=O	nonbinder2176-inactive
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C	nonbinder2177-inactive
CCOC(C=C(C)CCC=C(C)C)OCC	nonbinder2178-inactive
CCCCOC(C(C)OC(CCC)=O)=O	nonbinder2179-inactive
CCCC(OCC(C(C(CN(c(cc(C)c(C)c1)c1N=C1C(N2)=O)C1=NC2=O)OC(CCC)=O)OC(CCC)=O)OC(CCC)=O)=O	nonbinder2180-inactive
CCC(C)C(OC1C(C(CCC(CC(C2)O)OC2=O)C(C)C=C2)C2=CC(C)C1)=O	nonbinder2181-inactive
Cc(nc1Cl)nc(OC)c1NC1=NCCN1	nonbinder2182-inactive
CN(C1CCCCC1)C1CCCCC1	nonbinder2183-inactive
CC(C)OC(C(C1c2cccc3nonc23)=C(C)NC(C)=C1C(OC)=O)=O	nonbinder2184-inactive
Cc(onc1)c1C(Nc1ccc(C(F)(F)F)cc1)=O	nonbinder2185-inactive
CCOC(C(CCc1ccccc1)NC(C)C(N(CCC1)C1C(O)=O)=O)=O	nonbinder2186-inactive
OCC(C(C(C1O)O)OC(C(C2O)O)OC(CO)C2OC(C(C2O)O)OC(CO)C2OC(C(C2O)O)OC(CO)C2OC(C(C2O)O)OC(CO)C2OC(C(C2O)O)OC(CO)C2OC(C2O)OC3CO)OC1OC3C2O	nonbinder2187-inactive
Cn1c(N)nc2c(cccn3)c3ccc12	nonbinder2188-inactive
Fc1c(CBr)ccc(Br)c1	nonbinder2189-inactive
C=COCCOCCOC=C	nonbinder2190-inactive
COP(C(c(cc1)ccc1Cl)OP(OC)(OC)=O)(OC)=O	nonbinder2191-inactive
CN(C=C1S(C)=O)c(cc(cc2)F)c2C1=O	nonbinder2192-inactive
OC(Cn1ncnc1)(c(cc1)ccc1F)c(cccc1)c1F	nonbinder2193-inactive
NC1(CC(C2)C3)CC3CC2C1	nonbinder2194-inactive
Cn1c([N+]([O-])=O)cnc1COC(N)=O	nonbinder2195-inactive
Cc1c(Cn2cncc2)c(cccc2)c2n1CCC(O)=O	nonbinder2197-inactive
CCC(CC)(C(C=CN1)=O)C1=O	nonbinder2198-inactive
CC(C(C(C(C1)(CC2=C)C3CCC12O)C(O)=O)C3(C=C1)O2)(C1O)C2=O	nonbinder2199-inactive
NS(c(cc(C(c1c2cccc1)(NC2=O)O)cc1)c1Cl)(=O)=O	nonbinder2202-inactive
CCC(C)(c(cc1)ccc1O)c(cc1)ccc1O	nonbinder2203-inactive
CC(CC(N1C)=O)(C1=O)c1ccccc1	nonbinder2204-inactive
ClC(C(Cl)=C1Cl)(C(Cl)=C1Cl)Cl	nonbinder2205-inactive
CC(C)C(CC(C)N(C)C)(c1ccccc1)C#N	nonbinder2206-inactive
CCC(CC)(C(NC(N)=O)=O)Br	nonbinder2207-inactive
C1C2C=CC1C1C2C=CC1	nonbinder2208-inactive
CCOC(C1OC1(C)c1ccccc1)=O	nonbinder2209-inactive
CCOC(CC(CC(OCC)=O)(C(OCC)=O)OC(C)=O)=O	nonbinder2210-inactive
OC(CC(O)=O)(CC(O)=O)C(O)=O	nonbinder2211-inactive
CC(c(ccc(OC)c1)c1OC)=CC(O)=O	nonbinder2212-inactive
CC(C)=CCNc1c2ncn(C(C3O)OC(CO)C3O)c2ncn1	nonbinder2213-inactive
CC(c1cc(CCCC2)c2cc1)=O	nonbinder2214-inactive
OC(C(C(Cl)Cl)=C1Cl)OC1=O	nonbinder2215-inactive
CCC1(COC2)N2COC1	nonbinder2216-inactive
OC(c1cccc(-c2noc(-c(cccc3)c3F)n2)c1)=O	nonbinder2217-inactive
Cc1nc(N)nc(N)c1-c(cc1)cc(Cl)c1Cl	nonbinder2218-inactive
CC(N1)=C(C(c(cc2)ccc2SC)=O)NC1=O	nonbinder2219-inactive
Cc1cccc(C)c1N(C(COC)=O)N(CCO1)C1=O	nonbinder2220-inactive
CCN1CN(CC)CN(CC)C1	nonbinder2221-inactive
CC(C1)CC(C)(C)CC1OC(C(C)=C)=O	nonbinder2222-inactive
CC(C)CC(Cc1ccccc1)O	nonbinder2223-inactive
CC1(C)C2C(C)=CCC1C2	nonbinder2225-inactive
CC(OP(OC)(OC)=O)=CC(OC)=O	nonbinder2226-inactive
CC(CCC1C(C)=C)CC1O	nonbinder2227-inactive
[O-][N+](OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O	nonbinder2228-inactive
CCOP(CC)(OCC)=O	nonbinder2229-inactive
CCCCC(CC)COP(OCC(CC)CCCC)(OCC(CC)CCCC)=O	nonbinder2230-inactive
CCCCOCCOP(OCCOCCCC)(OCCOCCCC)=O	nonbinder2231-inactive
CC(C)(CC(C)=C1)CC1=O	nonbinder2232-inactive
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C	nonbinder2233-inactive
CC(C)(C#N)N=NC(C)(C)C#N	nonbinder2234-inactive
CCC(C)(CCCC(C)C)O	nonbinder2235-inactive
CC(C(C1=O)NC(/C(/c2csc(N)n2)=N\OC(C)(C)C(O)=O)=O)N1S(O)(=O)=O	nonbinder2236-inactive
NC(Cc1cccc(C(c2ccccc2)=O)c1N)=O	nonbinder2237-inactive
CC(NC(C(C#N)=C1)=O)=C1c1ccncc1	nonbinder2238-inactive
Oc1cccc(CC(CO2)C(Cc3cc(O)ccc3)C2=O)c1	nonbinder2239-inactive
OCNC(N(CO)C(C(N1CO)=O)N(CO)C1=O)=O	nonbinder2240-inactive
CC(C(c(cc1)ccc1Cl)S1)N(C(NC2CCCCC2)=O)C1=O	nonbinder2241-inactive
CCOC(C(CCCCCCl)=O)=O	nonbinder2242-inactive
CC1C(C)(C)C(C=CC(C)=O)C(C)=CC1	nonbinder2243-inactive
CCCCCCCCCCCCCCCC(OC/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C)=O	nonbinder2244-inactive
CC(C)(C1CC2CC1)C2=C	nonbinder2245-inactive
C(CNc1nc(-c2ccccc2)cs1)c1ccccc1	nonbinder2246-inactive
OC(Cc1ccc(CCNS(c(cc2)ccc2Cl)(=O)=O)cc1)=O	nonbinder2247-inactive
O=P(c1ccccc1)(c1ccccc1)c1ccccc1	nonbinder2248-inactive
Cc1nc(NC(NS(c2c(C(OC)=O)scc2)(=O)=O)=O)nc(OC)n1	nonbinder2249-inactive
NCc(cccc1)c1Sc1c(CO)cccc1	nonbinder2250-inactive
CN(CC1)C(C2)C(CC3)C11c4c2ccc(OC)c4OC1C3O	nonbinder2251-inactive
CC(C)(C1/C=C(\C(F)(F)F)/Cl)C1C(OCc(c(F)c(c(C)c1F)F)c1F)=O	nonbinder2252-inactive
CCCc(c(O)c(cc1)C(C)=O)c1OCCCOc(cc1)ccc1OCC(O)=O	nonbinder2253-inactive
[O-][N+](c(cc(C(F)(F)F)c(Cl)c1[N+]([O-])=O)c1Nc1ncc(C(F)(F)F)cc1Cl)=O	nonbinder2254-inactive
CCC(CC1)(C(CC2)C(CC3)C1C(CC1)C3=CC1=O)C2(C#C)O	nonbinder2255-inactive
CCCCCOc(ccc(C(C(N1)=O)SC1=O)c1)c1OCC	nonbinder2256-inactive
C1NC(C2Oc(cccc3)c3OC2)=NC1	nonbinder2257-inactive
Oc(ccc(C=O)c1O)c1O	nonbinder2258-inactive
CC(c(cc1)ccc1O)c(cc1)ccc1O	nonbinder2259-inactive
CC(C)Cc1nnc(NS(c(cc2)ccc2OC)(=O)=O)s1	nonbinder2260-inactive
CC1(C)COP(Oc2ccccc2)OC1	nonbinder2261-inactive
CC(C)(C(CC1)CCC1O)C(CC1)CCC1O	nonbinder2262-inactive
CC(C)(C1CC=C(C)CC1)OC(C)=O	nonbinder2263-inactive
Cc(cc1)ccc1S(NC1CCCCC1)(=O)=O	nonbinder2264-inactive
O=S(c1ccccc1)(Oc(cc1)ccc1Cl)=O	nonbinder2265-inactive
CCC(C)(C)c(cc1)ccc1O	nonbinder2266-inactive
Cc(cc1)ccc1S(OC)(=O)=O	nonbinder2267-inactive
NNS(c(cc1)ccc1Oc(cc1)ccc1S(NN)(=O)=O)(=O)=O	nonbinder2268-inactive
CC(C)(C(CC1)CCC1(C)N)N	nonbinder2269-inactive
CC(N(c1c(C)c(C)no1)S(c(cc1)ccc1N)(=O)=O)=O	nonbinder2270-inactive
CN(C(c(cc1)ccc1Cl)S(CC1)(=O)=O)C1=O	nonbinder2271-inactive
CCN1C(CNC(c(c(OC)c(cc2)Br)c2OC)=O)CCC1	nonbinder2272-inactive
Cc1nc(N(Cc2ccco2)C(N(C)C2=O)=O)c2[nH]1	nonbinder2273-inactive
CCC(OC(C(C)C1)(C(C)(CC2O)C1C(CC(C(C1(C)C=C3)=CC3=O)F)C12F)C(SCF)=O)=O	nonbinder2274-inactive
OC(CCNC(c(cc1)ccc1/N=N/c(cc1)cc(C(O)=O)c1O)=O)=O	nonbinder2275-inactive
CC(C(C(C)=C1CCCCC#CCCCC#CCO)=O)=C(C)C1=O	nonbinder2276-inactive
CCOc1ccc(C(C)(C)COCc2cccc(Oc3ccccc3)c2)cc1	nonbinder2277-inactive
CCOC(c(cc1)ccc1OCCN(CC(C1O)O)C(CO)C1O)=O	nonbinder2278-inactive
Cc(scc12)c2N(C(CN2CCN(C)CC2)=O)c(cccc2)c2NC1=O	nonbinder2279-inactive
O=C(c1c2cccc1)NS2(=O)=O	nonbinder2280-inactive
Nc1cc(S(O)(=O)=O)c(C=Cc(ccc(N)c2)c2S(O)(=O)=O)cc1	nonbinder2281-inactive
Nc(ccc1ccccc11)c1S(O)(=O)=O	nonbinder2282-inactive
C(C1OC11)C2C1C1C3OC3C2C1	nonbinder2283-inactive
CC(CCC(O)=O)C(CCC1C(C(C2)C(C)(CCC(C3)=O)C3C3)C3=O)C1(C)C2=O	nonbinder2284-inactive
O=C(c(cc1)c(c2ccc3C(O4)=O)c3c1C4=O)OC2=O	nonbinder2285-inactive
Oc(c(C(c1c2cccc1)=O)c1C2=O)ccc1O	nonbinder2286-inactive
CC(CC(c1ccccc1)C(C(Oc1c2cccc1)=O)=C2O)=O	nonbinder2287-inactive
O=C(c1c2c3cccc2ccc1)NC3=O	nonbinder2288-inactive
OC(c1c(C(c(cc2)ccc2O)c(cc2)ccc2O)cccc1)=O	nonbinder2289-inactive
CC(SCC(Cc1ccccc1)C(NCC(OCc1ccccc1)=O)=O)=O	nonbinder2290-inactive
CCn1c(CC2Oc(cccc3)c3OC2)ncc1	nonbinder2291-inactive
CCc1cnc(C(N2)=NC(C)(C(C)C)C2=O)c(C(O)=O)c1	nonbinder2292-inactive
CCNC(N(CCCN(C)C)C(C(C1)CN(CC=C)C(Cc2c[nH]3)C1c1c2c3ccc1)=O)=O	nonbinder2293-inactive
Cc1ccc(C2OC3C(C(CO)O)OC(c4ccc(C)cc4)OC3CO2)cc1	nonbinder2294-inactive
CC(C)(CON1Cc(cccc2)c2Cl)C1=O	nonbinder2295-inactive
CC(CSC(c1ccccc1)=O)C(N(CC(C1)Sc2ccccc2)C1C(O)=O)=O	nonbinder2296-inactive
CC(Oc1c2c(OC)c(cco3)c3c1OC)=CC2=O	nonbinder2297-inactive
[O-][N+](c(c(Cl)c(c(Cl)c1Cl)Cl)c1Cl)=O	nonbinder2298-inactive
O=C(c1c(c2ccc3)c3ccc1)C2=O	nonbinder2299-inactive
CCOC(OC(CC1)(C(C)(CC2O)C1C(CC1)C2C(C)(C=C2)C1=CC2=O)C(OCCl)=O)=O	nonbinder2300-inactive
O=C=NCCCCCCN=C=O	nonbinder2301-inactive
NC(NC1=O)=Nc2c1ncn2COC(CO)CO	nonbinder2302-inactive
CC1N(C=C(C(O)=O)C(c2cc(F)c3N4CCN(C)CC4)=O)c2c3OC1	nonbinder2303-inactive
Cc1nn(CC(CSC2C3NC(/C(/c4csc(N)n4)=N\OC)=O)=C(C(O)=O)N2C3=O)nn1	nonbinder2304-inactive
CCC(C)(CC)c1noc(NC(c(c(OC)ccc2)c2OC)=O)c1	nonbinder2305-inactive
CC(C)(C(N(C)c(cnc(N(CC1)C(CO)C1O)c1)c1-c(cc1)c(C)cc1F)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	nonbinder2306-inactive
CC(C)(C1)NC(C)(C)CC1=O	nonbinder2307-inactive
O=C(C1C2C3C=CC1C3)OC2=O	nonbinder2308-inactive
CC(C)(C1/C=C(\C(F)(F)F)/Cl)C1C(OCc1c(C)c(-c2ccccc2)ccc1)=O	nonbinder2309-inactive
CC(C1)OC(C)OC1OC(C)=O	nonbinder2310-inactive
CC1(C)SC(C)(C)SC(C)(C)S1	nonbinder2311-inactive
CCCC(C(OCC)=O)NC(C)C(N(C(C1)C(O)=O)C2C1CCCC2)=O	nonbinder2312-inactive
CC(C(C(C1O)O)O)OC1OC(C(C(OCCc(cc1)cc(O)c1O)OC1COC(C(C2O)O)OC(CO)C2O)O)C1OC(/C=C/c(cc1)cc(O)c1O)=O	nonbinder2313-inactive
CC(N(C)N(C1=O)c2ccccc2)=C1N	nonbinder2314-inactive
CC(C)(C)C(C(C(c1c2cccc1)=O)C2=O)=O	nonbinder2315-inactive
C(Cc1ccc2)c3c1c2ccc3	nonbinder2316-inactive
O=Cc(c(Cl)ccc1)c1Cl	nonbinder2317-inactive
Cc(c([N+]([O-])=O)ccc1)c1Cl	nonbinder2318-inactive
Oc1c(cccc2O)c2ccc1	nonbinder2319-inactive
CC(C(C1)Oc(cc2)c1c(OC1C3c(cc(c(OC)c4)OC)c4OC1)c2C3=O)=C	nonbinder2320-inactive
Cc(c(C)c1)cc(N2CC(C(C(CO)O)O)O)c1N=C(C(N1)=O)C2=NC1=O	nonbinder2321-inactive
Oc(cc1)ccc1Oc1ccccc1	nonbinder2322-inactive
O=C(c(cccn1)c1Oc1cc(C(F)(F)F)ccc1)Nc(ccc(F)c1)c1F	nonbinder2323-inactive
OCC(CO)NC(CC(CO)(C(C1O)O)O)C1O	nonbinder2325-inactive
OCCN(C(N(CCO)C(N1CCO)=O)=O)C1=O	nonbinder2327-inactive
Cc(cc1)cc(C(c2c3cccc2)=O)c1C3=O	nonbinder2328-inactive
C#CC(C(C(Cl)=C(C1=O)Cl)=O)=C1C#C	nonbinder2329-inactive
CC(C)COC(c(cccc1)c1C(OCC(C)C)=O)=O	nonbinder2330-inactive
CC(C)=CCC(C(c(cccc1)c1C1=O)=O)=C1O	nonbinder2332-inactive
COC(c1ccc(cc(cc2)C(OC)=O)c2c1)=O	nonbinder2334-inactive
Nc1nc(N)nnc1-c1cccc(Cl)c1Cl	nonbinder2335-inactive
OC(c(c(c(cc1)c2)ncc2Cl)c1Cl)=O	nonbinder2336-inactive
CN(C(C(C(N(C)c1c2cccc1)=O)=C2O)=O)c1ccccc1	nonbinder2337-inactive
CCCCC(C(NC(N1C2CCCCC2)=O)=O)C1=O	nonbinder2338-inactive
CC(CC1c(cc2)ccc2N(C)C)(C(CC2)C(CC3)C1=C(CC1)C3=CC1=O)C2(C#CC)O	nonbinder2339-inactive
CC(C)(C)OC(c(nc1)c(C2N3CCC2)n1-c1cccc(Br)c1C3=O)=O	nonbinder2340-inactive
OC(c(cccc1)c1-c1ccc(C(F)(F)F)cc1)=O	nonbinder2341-inactive
Oc(c(Cl)cc(Cl)c1)c1S(c1cc(Cl)cc(Cl)c1O)=O	nonbinder2342-inactive
COC(c(cc(cc1)Cl)c1NS(C(F)(F)F)(=O)=O)=O	nonbinder2343-inactive
OC(CSCC(NC(CCS1)C1=O)=O)=O	nonbinder2344-inactive
O=C(CC(C1)c(cc2)ccc2Cl)NC1=O	nonbinder2345-inactive
c1cc2ccc3ncccc3c2cc1	nonbinder2346-inactive
CCc(c(Br)c(c(Br)c1Br)Br)c1Br	nonbinder2347-inactive
CC(Nc(c(I)cc(I)c1C(O)=O)c1I)=O	nonbinder2348-inactive
O=C(c1c2cccc1)NC2=O	nonbinder2349-inactive
O=C(C1C2CCCC1)OC2=O	nonbinder2350-inactive
CCCC(c(cc1C(C)(C)C)c(C)cc1O)c(c(C)c1)cc(C(C)(C)C)c1O	nonbinder2351-inactive
CC1=COc(cccc2)c2C1=O	nonbinder2352-inactive
CCN(C(N(CC)c1ccccc1)=O)c1ccccc1	nonbinder2353-inactive
Brc(c(Br)c1Br)cc(Oc(cc(c(Br)c2Br)Br)c2Br)c1Br	nonbinder2354-inactive
CN1N=Nc2c(C(N)=O)ncn2C1=O	nonbinder2356-inactive
CCOc(c(N1CCOCC1)c1)cc([N+]([O-])=O)c1OCC	nonbinder2357-inactive
N#CC(c1ccccc1)c1ccccc1	nonbinder2358-inactive
O=NN(c1ccccc1)c1ccccc1	nonbinder2359-inactive
CN(C(CC1c2ccccc2)=O)C1=O	nonbinder2360-inactive
c(cc1)cc2c1[nH]c1c2cccc1	nonbinder2361-inactive
O=C(c1ccccc1)Oc1cccc2cccnc12	nonbinder2362-inactive
OC(Cc1cccc2ccccc12)=O	nonbinder2363-inactive
Clc1ccc2c(Cl)ccnc2c1	nonbinder2364-inactive
Oc(ccc(CCNCCCCCCNCCc1ccccc1)c1)c1O	nonbinder2365-inactive
OC(c(cccc1)c1N(C=C(C(O)=O)C(c1c2)=O)c1cc(Cl)c2Nc(c(F)cc(F)c1)c1Cl)=O	nonbinder2366-inactive
OC(Cn1ncnc1)(Cn1ncnc1)c(ccc(F)c1)c1F	nonbinder2367-inactive
OC(C(C(c1c2)=O)=CN(C3CC3)c1cc(Cl)c2F)=O	nonbinder2368-inactive
NC(CN(CC(F)(F)F)c(cc1)cc(C(F)(F)F)c1C#N)=O	nonbinder2369-inactive
CCOC(CP(OCC)(OCC)=O)=O	nonbinder2370-inactive
CC(C)CC(C(C1(C)OC1)=O)NC(C(Cc1ccccc1)NC(C(CC(C)C)NC(C(CCc1ccccc1)NC(CN1CCOCC1)=O)=O)=O)=O	nonbinder2372-inactive
CC(c(ccc(N(C)C)c1)c1O1)=CC1=O	nonbinder2373-inactive
Nc1ccc2c(O)cc(S(O)(=O)=O)cc2c1	nonbinder2374-inactive
CCOC=C(C(OCC)=O)C(OCC)=O	nonbinder2375-inactive
CCOC(c(cccc1)c1N)=O	nonbinder2377-inactive
CCCC(C)c(cccc1)c1O	nonbinder2378-inactive
[O-][N+](OC(COC12)C1OCC2O[N+]([O-])=O)=O	nonbinder2379-inactive
CC(C)(C1)C(CC/C(/C)=C/CC2)C1C2=C	nonbinder2380-inactive
OC(Cc1c[nH]c2c1cccc2)=O	nonbinder2381-inactive
ClC(C(Cl)=C(Cl)Cl)=C(Cl)Cl	nonbinder2382-inactive
OCC(C(C1O)O)(O)OCC1O	nonbinder2383-inactive
OC(C(C(C(C1O)O)O)O)C1O	nonbinder2384-inactive
O=C(N(C(N(C1=O)Cl)=O)Cl)N1Cl	nonbinder2385-inactive
CCOC(C(C(C(OCC)=O)O)O)=O	nonbinder2386-inactive
CCOc(ccc(NC(OC(C)C)=O)c1)c1OCC	nonbinder2387-inactive
CC(CC(C)(C)C1)CC1=O	nonbinder2388-inactive
CC(C(CCCC1)C1=O)=O	nonbinder2389-inactive
O=Cc(ccc(Cl)c1)c1Cl	nonbinder2390-inactive
COc(cc1)ccc1C#N	nonbinder2391-inactive
CC(C)C(CC1)(C2)OC1(C)C2OCc1c(C)cccc1	nonbinder2392-inactive
CCC(C(C(CC(C1)c2c(C)cc(C)cc2C)=O)=C1O)=NOCC	nonbinder2393-inactive
Oc(c(Cl)cc(Cl)c1)c1Cl	nonbinder2394-inactive
FC(c(cccc1)c1Cl)(F)F	nonbinder2395-inactive
Nc1cc(Cl)cc(S(O)(=O)=O)c1O	nonbinder2396-inactive
Cc(cc1)cc(S(O)(=O)=O)c1N	nonbinder2397-inactive
Cc(cc(c(S(O)(=O)=O)c1)N)c1Cl	nonbinder2398-inactive
CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O	nonbinder2399-inactive
Cc(cccc1)c1[N+]([O-])=O	nonbinder2400-inactive
[O-][N+](c(cc(cc1C(O)=O)Cl)c1Cl)=O	nonbinder2401-inactive
OC(c(cccc1)c1C(O)=O)=O	nonbinder2402-inactive
Cc1cccc(C)c1NC(CC1(CCC2)N2CCC1)=O	nonbinder2403-inactive
Cc(ccc1ccccc11)c1[N+]([O-])=O	nonbinder2404-inactive
CCCc(c(O)c(cc1)C(C)=O)c1OCCCCc1nnn[nH]1	nonbinder2405-inactive
CC(C)(C)C1CCC(CC(C(c(cccc2)c2C2=O)=O)=C2O)CC1	nonbinder2406-inactive
FC(C(c(cc1)ccc1Cl)=NOCC1OCCO1)(F)F	nonbinder2407-inactive
Oc1c(C=NCc2ccccc2)cccc1	nonbinder2408-inactive
O=C1C(c2ccccc2)=C1c1ccccc1	nonbinder2409-inactive
CN(C(Oc1cc(CCCC2)c2cc1)=S)c1nc(OC)ccc1	nonbinder2411-inactive
[O-][N+](c(cc1)cc([N+]([O-])=O)c1S(O)(=O)=O)=O	nonbinder2412-inactive
OC(c(c(C(O)=O)c1)cc(C(O)=O)c1C(O)=O)=O	nonbinder2413-inactive
OC(c(ccc(S(O)(=O)=O)c1)c1C(O)=O)=O	nonbinder2414-inactive
CC(CC1=O)=NN1c1ccccc1	nonbinder2415-inactive
CC(CC1=O)=NN1c(cc1)ccc1S(O)(=O)=O	nonbinder2416-inactive
Nc(cc1)cc(C(O)=O)c1O	nonbinder2417-inactive
Cc(cc1)cc([N+]([O-])=O)c1N	nonbinder2418-inactive
CC(C)c1cc(Cl)c(C)cc1O	nonbinder2419-inactive
CC(CCC1=C(C)C)CC1=O	nonbinder2420-inactive
CCC(C1)(C2=NCCN2)Oc2c1cccc2	nonbinder2421-inactive
CCC(C)(C(N(C1=O)Cl)=O)N1Cl	nonbinder2422-inactive
OC(COC(Cc(cccc1)c1Nc(c(Cl)ccc1)c1Cl)=O)=O	nonbinder2423-inactive
CC(C1)C(C(CC2)C(C)(CC3)C2(C)O)C3C(CC2)C1=CC2=O	nonbinder2424-inactive
CC(C(C1O)O)OC1N(C=C(C(N1)=O)F)C1=O	nonbinder2425-inactive
O=C1N=NNc2c1cccc2	nonbinder2426-inactive
CC(OC(C(Cl)(Cl)Cl)c1ccccc1)=O	nonbinder2427-inactive
CC(c(ccc(O)c1)c1O1)=CC1=O	nonbinder2428-inactive
C(CC1)CC2N1CC1C(CCCC3)N3CC2C1	nonbinder2429-inactive
Nc(cccc1)c1-c1ccccc1	nonbinder2430-inactive
O=C(CCCC1)C1C1CCCCC1	nonbinder2431-inactive
O=C(c1c(C2)cccc1)c1c2cccc1	nonbinder2432-inactive
CN(C)Cc(cc1CN(C)C)cc(CN(C)C)c1O	nonbinder2433-inactive
OCC(C(C(C1O)O)O)OC1=O	nonbinder2434-inactive
CC(C(OC)OC)c1ccccc1	nonbinder2435-inactive
OC(C(CC(c(cccc1)c1N1)=CC1=O)NC(c(cc1)ccc1Cl)=O)=O	nonbinder2436-inactive
CC(CS(c(cc1)ccc1F)(=O)=O)(C(Nc(cc1)cc(C(F)(F)F)c1C#N)=O)O	nonbinder2437-inactive
COc1cccc(OC)c1O	nonbinder2438-inactive
N#Cc(cccc1)c1C#N	nonbinder2439-inactive
C(CC1)CC2C1CCCC2	nonbinder2440-inactive
NS(c(cc(c(N=C(CSCc1ccccc1)N1)c2)S1(=O)=O)c2Cl)(=O)=O	nonbinder2441-inactive
O=C(c(cccc1)c1N1)C1=O	nonbinder2442-inactive
Nc1cc2ccccc2cc1	nonbinder2443-inactive
Cc(cc1)cc2c1NCCC2	nonbinder2444-inactive
O=C1Oc(cccc2)c2C=C1	nonbinder2445-inactive
CCN(CC)C1CCCCC1	nonbinder2446-inactive
CCN(CC)c1cc(C)ccc1	nonbinder2447-inactive
Nc1nc(-c2ccccc2)nc(N)n1	nonbinder2448-inactive
CN(C)CCN(Cc1cscc1)c1ncccc1	nonbinder2449-inactive
COc(cc(cc1)-c(cc2)cc(OC)c2N=C=O)c1N=C=O	nonbinder2450-inactive
CCCN(CCC)CCc1cccc(N2)c1CC2=O	nonbinder2451-inactive
CC(C(OC(C)OC(C)=O)=O)c(cc1)cc(F)c1-c1ccccc1	nonbinder2452-inactive
Oc(cc1)cc(Cl)c1-c1ccccc1	nonbinder2453-inactive
c(cc1)ccc1-c1cccc(-c2ccccc2)c1	nonbinder2454-inactive
CCC(C(Cc1cncn1C)CO1)C1=O	nonbinder2455-inactive
Clc(cc1)cc2c1Sc(cccc1)c1N2	nonbinder2456-inactive
O=C(CC1)NN1c1ccccc1	nonbinder2457-inactive
Oc1cc2ccccc2cc1O	nonbinder2458-inactive
C(CC1)CCC1C1CCCCC1	nonbinder2459-inactive
CC(OC(c1ccc([N+]([O-])=O)o1)OC(C)=O)=O	nonbinder2460-inactive
Brc(cc1)ccc1-c1ccccc1	nonbinder2461-inactive
OC(c1cc2ccccc2cc1O)=O	nonbinder2462-inactive
CC(COC(C(C)=C)=O)O	nonbinder2463-inactive
CC(N(CC(CN(C(C)=O)c(c(I)c(C(NCC(CO)O)=O)c(I)c1C(NCC(CO)O)=O)c1I)O)c(c(I)c(C(NCC(CO)O)=O)c(I)c1C(NCC(CO)O)=O)c1I)=O	nonbinder2464-inactive
CCCCN(CCCC)N=O	nonbinder2465-inactive
Cc1c(C(c(cc2)ccc2OC)=O)c(cccc2)c2n1CCN1CCOCC1	nonbinder2466-inactive
CC1N(C)C(O)=NC1c1ccccc1	nonbinder2467-inactive
COc(cc1)cc(C=O)c1OC	nonbinder2468-inactive
CC(c1cc2ccccc2cc1)=O	nonbinder2469-inactive
CC=Cc(cc1)cc(OC)c1OC	nonbinder2470-inactive
CC(Cc(cccc1)c1OC)NC	nonbinder2471-inactive
c1ccc(cc(cc2)Nc(cc3)ccc3Nc3cc4ccccc4cc3)c2c1	nonbinder2472-inactive
COc(ccc(/C=N/NC(c1ccncc1)=O)c1)c1OC	nonbinder2473-inactive
CC(C=O)c1ccccc1	nonbinder2474-inactive
CC(CC(Nc1c(C)cccc1)=O)=O	nonbinder2475-inactive
CCOC(c1ccccc1)=O	nonbinder2476-inactive
CC(C)(C(C1(C)C)=O)C1=O	nonbinder2477-inactive
OP(O)(OCN(C(C(c1ccccc1)(c1ccccc1)N1)=O)C1=O)=O	nonbinder2478-inactive
COc(cccc1O)c1O	nonbinder2479-inactive
CN(C)CC(C1(CCCCC1)O)c(cc1)ccc1OC	nonbinder2480-inactive
Cn(cn1)c2c1ncnc2N	nonbinder2482-inactive
CN(C(c(nc[nH]1)c1N1)=O)C1=N	nonbinder2483-inactive
CC(C)(C)c1ccc(C=O)cc1	nonbinder2484-inactive
